Database	Sample	Frac_unclassified	Count_unclassified
HUMAN-4594	SRR11404531_1_kneaddata_paired.out	 58.69	367158
HUMAN-4594	SRR11404542_1_kneaddata_paired.out	 61.90	296529
HUMAN-4594	SRR11404547_1_kneaddata_paired.out	 63.10	75258
HUMAN-4594	SRR11404548_1_kneaddata_paired.out	 80.15	41294
HUMAN-4594	SRR11404549_1_kneaddata_paired.out	 80.30	8283
HUMAN-4594	SRR11404550_1_kneaddata_paired.out	 88.55	34123
HUMAN-4594	SRR11404552_1_kneaddata_paired.out	 66.80	89720
HUMAN-4594	SRR11404553_1_kneaddata_paired.out	 80.53	14263
HUMAN-4594	SRR11404556_1_kneaddata_paired.out	 73.29	1664097
HUMAN-4594	SRR11404557_1_kneaddata_paired.out	 76.97	1553784
HUMAN-4594	SRR11404558_1_kneaddata_paired.out	 76.57	889405
HUMAN-4594	SRR11404559_1_kneaddata_paired.out	 75.66	761770
HUMAN-4594	SRR11404560_1_kneaddata_paired.out	 58.31	929394
HUMAN-4594	SRR11404561_1_kneaddata_paired.out	 60.81	812737
HUMAN-4594	SRR11404562_1_kneaddata_paired.out	 58.18	5964
HUMAN-4594	SRR11404573_1_kneaddata_paired.out	 55.89	143420
HUMAN-4594	SRR11404581_1_kneaddata_paired.out	 58.83	422060
HUMAN-4594	SRR11404582_1_kneaddata_paired.out	 70.35	280180
HUMAN-4594	SRR11404583_1_kneaddata_paired.out	 81.14	133716
HUMAN-4594	SRR11404584_1_kneaddata_paired.out	 90.17	156
HUMAN-4594	SRR11404585_1_kneaddata_paired.out	 65.89	248929
HUMAN-4594	SRR11404586_1_kneaddata_paired.out	 71.91	287033
HUMAN-4594	SRR11404587_1_kneaddata_paired.out	 71.38	81255
HUMAN-4594	SRR11404588_1_kneaddata_paired.out	 58.56	239011
HUMAN-4594	SRR11404589_1_kneaddata_paired.out	 65.84	82168
HUMAN-4594	SRR11404591_1_kneaddata_paired.out	 55.03	147849
HUMAN-4594	SRR11404592_1_kneaddata_paired.out	 57.82	130655
HUMAN-4594	SRR11404599_1_kneaddata_paired.out	 58.35	68712
HUMAN-4594	SRR11404600_1_kneaddata_paired.out	 61.75	82768
HUMAN-4594	SRR11404602_1_kneaddata_paired.out	 70.04	314470
HUMAN-4594	SRR11404604_1_kneaddata_paired.out	 96.49	30400
HUMAN-4594	SRR11404605_1_kneaddata_paired.out	 57.31	71381
HUMAN-4594	SRR11404606_1_kneaddata_paired.out	 96.18	29227
HUMAN-4594	SRR11404608_1_kneaddata_paired.out	 62.84	88982
HUMAN-4594	SRR11404609_1_kneaddata_paired.out	 56.53	103486
HUMAN-4594	SRR11404610_1_kneaddata_paired.out	 55.02	136120
HUMAN-4594	SRR11404611_1_kneaddata_paired.out	 57.06	147938
HUMAN-4594	SRR11404614_1_kneaddata_paired.out	 60.31	146428
HUMAN-4594	SRR11404615_1_kneaddata_paired.out	 59.80	258869
HUMAN-4594	SRR11404616_1_kneaddata_paired.out	 69.44	228830
HUMAN-4594	SRR11404617_1_kneaddata_paired.out	 82.27	29956
HUMAN-4594	SRR11404618_1_kneaddata_paired.out	 66.04	291988
HUMAN-4594	SRR11404619_1_kneaddata_paired.out	 55.49	331175
HUMAN-4594	SRR11404620_1_kneaddata_paired.out	 64.41	80169
HUMAN-4594	SRR4116677_1_kneaddata_paired.out	 64.70	1281265
HUMAN-4594	SRR5865534_1_kneaddata_paired.out	 36.41	32976
HUMAN-4594	SRR5927699_1_kneaddata_paired.out	 70.95	315
HUMAN-4594	SRR5927727_1_kneaddata_paired.out	 53.30	1162399
HUMAN-4594	SRR6032573_1_kneaddata_paired.out	 74.56	8309023
HUMAN-4594	SRR6032574_1_kneaddata_paired.out	 72.57	11468056
HUMAN-4594	SRR6032580_1_kneaddata_paired.out	 65.35	3622405
HUMAN-4594	SRR6032581_1_kneaddata_paired.out	 70.20	6980102
HUMAN-4594	SRR6032583_1_kneaddata_paired.out	 71.23	5951242
HUMAN-4594	SRR6032587_1_kneaddata_paired.out	 70.01	7934213
HUMAN-4594	SRR6032597_1_kneaddata_paired.out	 74.81	8692714
HUMAN-4594	SRR6051572_kneaddata.out	 76.53	2496471
HUMAN-4594	SRR6051576_kneaddata.out	 75.48	2502942
HUMAN-4594	SRR6051577_kneaddata.out	 70.96	1636193
HUMAN-4594	SRR6051578_kneaddata.out	 74.80	3172750
HUMAN-4594	SRR6051579_kneaddata.out	 68.60	1613726
HUMAN-4594	SRR6051580_kneaddata.out	 60.43	1674268
HUMAN-4594	SRR6051584_kneaddata.out	 73.18	2287198
HUMAN-4594	SRR6051702_kneaddata.out	 70.70	7446556
HUMAN-4594	SRR6051706_kneaddata.out	 72.67	7696271
HUMAN-4594	SRR6051714_kneaddata.out	 78.82	134
HUMAN-4594	SRR6051716_kneaddata.out	 73.40	5381835
HUMAN-4594	SRR6440128_1_kneaddata_paired.out	 64.09	16985668
HUMAN-4594	SRR6440132_1_kneaddata_paired.out	 85.88	9922247
HUMAN-4594	SRR6440135_1_kneaddata_paired.out	 51.78	13125958
HUMAN-4594	SRR6440136_1_kneaddata_paired.out	 56.69	16281525
HUMAN-4594	SRR6440137_1_kneaddata_paired.out	 65.36	15993539
HUMAN-4594	SRR6440138_1_kneaddata_paired.out	 66.02	14602066
HUMAN-4594	SRR6945376_1_kneaddata_paired.out	 70.05	5515859
HUMAN-4594	SRR6945378_1_kneaddata_paired.out	 75.01	6195436
HUMAN-4594	SRR6945379_1_kneaddata_paired.out	 42.91	5785856
HUMAN-4594	SRR6945382_1_kneaddata_paired.out	 29.72	4434682
HUMAN-4594	SRR6945383_1_kneaddata_paired.out	 72.81	8932351
HUMAN-4594	SRR6945384_1_kneaddata_paired.out	 68.47	7851325
HUMAN-4594	SRR6945387_1_kneaddata_paired.out	 72.04	4716160
HUMAN-4594	SRR6945389_1_kneaddata_paired.out	 69.94	6257656
HUMAN-4594	SRR6945394_1_kneaddata_paired.out	 70.73	7507598
HUMAN-4594	SRR6945397_1_kneaddata_paired.out	 68.58	3768170
HUMAN-4594	SRR6945398_1_kneaddata_paired.out	 68.70	6407489
HUMAN-4594	SRR6945400_1_kneaddata_paired.out	 70.33	4381512
HUMAN-4594	SRR6945401_1_kneaddata_paired.out	 68.78	9533346
HUMAN-4594	SRR6945402_1_kneaddata_paired.out	 70.42	8388052
HUMAN-4594	SRR6945403_1_kneaddata_paired.out	 69.52	8677585
HUMAN-4594	SRR6945405_1_kneaddata_paired.out	 68.25	8288314
HUMAN-4594	SRR6945407_1_kneaddata_paired.out	 66.74	6322656
HUMAN-4594	SRR6945409_1_kneaddata_paired.out	 65.49	4631948
HUMAN-4594	SRR6945410_1_kneaddata_paired.out	 67.32	6368378
HUMAN-4594	SRR7691170_1_kneaddata_paired.out	 56.53	3211216
HUMAN-4594	SRR7762565_1_kneaddata_paired.out	 60.88	8776727
HUMAN-4594	SRR8244701_1_kneaddata_paired.out	 55.80	33259
HUMAN-4594	SRR8244708_1_kneaddata_paired.out	 43.72	1159329
HUMAN-4594	SRR9157340_1_kneaddata_paired.out	 58.82	12044
HUMAN-4594	SRR9205150_1_kneaddata_paired.out	 63.76	271
HUMAN-4594	T1_TMAO_B10_PL22_kneaddata.out	 72.41	5004460
HUMAN-4594	T2_TMAO_B12_PL24_kneaddata.out	 78.12	3345352
HUMAN-4594	T3_TMAO_C8_PL32_kneaddata.out	 76.42	8910944
HUMAN-4594	T4_TMAO_D10_PL46_kneaddata.out	 74.61	4932990
HUMAN_REPS-3113	C1_chow_A2_PL2_kneaddata.out	 78.64	4338554
HUMAN_REPS-3113	C2_chow_A6_PL6_kneaddata.out	 78.21	6019976
HUMAN_REPS-3113	C3_chow_C10_PL34_kneaddata.out	 73.81	5163577
HUMAN_REPS-3113	C4_chow_C12_PL36_kneaddata.out	 76.62	5367689
